"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
11535, 1.147766925648907e+00, 5.275804309859797e-01, -7.354604382339628e-03, 1.147783870111900e+00, 9.240918746649459e-01, 7.319754306284725e-02, 9.450892464809554e-02, 3.426229426255856e+00, 1.219202728622758e+00, 1.048057826111045e+00, 6.657125703059298e-01, 4.113736708026395e-01
11536, 1.160847878074598e+00, 6.258898190168489e-01, -1.854868560105299e-03, 1.089999463601224e+00, 8.978732244287934e-01, 5.382466114876875e-02, 1.083494938721030e-01, 3.258692119981268e+00, 1.152868877708850e+00, 1.043573561129737e+00, 6.830539458270894e-01, 2.787059689748226e-01
11537, 1.132789014832774e+00, 4.639503893939193e-01, 9.996475385477037e-03, 1.128942941103427e+00, 8.757280679797892e-01, 4.962389737077739e-02, -5.318503479582463e-02, 3.361411477266197e+00, 1.207765679278691e+00, 1.055553204250600e+00, 6.360202794199590e-01, 3.884995721145046e-01
11538, 1.113572548776208e+00, 4.219141326493482e-01, 6.135156031869880e-04, 1.135621830146817e+00, 8.889689141331651e-01, 4.908951987707105e-02, -1.160871037105770e-01, 3.384417176696155e+00, 1.211791486707453e+00, 1.052842969224330e+00, 6.468648635380516e-01, 3.965511869720291e-01
11539, 1.116452729334166e+00, 4.032347282492096e-01, 3.244193408450577e-03, 1.135093204166160e+00, 8.372340200863363e-01, 7.322026821269699e-02, -8.224643026832927e-03, 3.370380623764230e+00, 1.223688521905648e+00, 1.063674626574328e+00, 6.027079817765919e-01, 4.203452573684197e-01
11540, 1.135487542768801e+00, 4.822788221072006e-01, -9.764284416768988e-10, 1.112971696011694e+00, 8.260073591942757e-01, 6.353865387658329e-02, -5.485405996540274e-03, 3.305624344494984e+00, 1.198912296222788e+00, 1.062851845827385e+00, 6.061425125667610e-01, 3.707928060026995e-01
11541, 1.138563239425485e+00, 5.103419822525720e-01, -5.951388429900644e-04, 1.144849717496101e+00, 8.881983359784427e-01, 7.920048810888385e-02, 1.051371430294992e-01, 3.410285838608377e+00, 1.223270902829461e+00, 1.054249978638138e+00, 6.412508622459260e-01, 4.195100192160451e-01
11542, 1.144273400464847e+00, 5.465377079397654e-01, -1.147045924951128e-03, 1.107820276161876e+00, 8.923884760603829e-01, 6.107783342012533e-02, 1.060298105778401e-01, 3.307257495180111e+00, 1.176429778159017e+00, 1.047770425731315e+00, 6.668330158287881e-01, 3.258277698751582e-01
11543, 1.144557979593141e+00, 2.970084443017382e-01, -6.200275077269292e-03, 1.058348045912960e+00, 9.393776239806088e-01, 2.934553213647573e-02, 8.492898810407662e-03, 3.178850407163670e+00, 1.104607628065913e+00, 1.029790692730517e+00, 7.346618013362444e-01, 1.821834696889493e-01
11544, 1.144043375157186e+00, 2.874574923472352e-01, -3.113345272295917e-02, 1.062844446311459e+00, 9.644233361526477e-01, 2.429634713200319e-02, 1.588063233296089e-02, 3.197741512239141e+00, 1.103914830833820e+00, 1.024790986865476e+00, 7.528312881929290e-01, 1.807978752247635e-01
11545, 1.137079244113684e+00, 3.405369019126656e-01, 4.440363659787155e-03, 1.067721908533528e+00, 9.240155090913312e-01, 3.139845130695996e-02, 1.869024795603555e-03, 3.201080285702223e+00, 1.120316636606838e+00, 1.035266277873853e+00, 7.144424471346218e-01, 2.136014867707998e-01
11546, 1.133960820460715e+00, 2.910561074159468e-01, -2.355100717546799e-02, 1.069949341024146e+00, 9.624134679907794e-01, 2.995924718961037e-02, 1.611654131343234e-02, 3.216975329557482e+00, 1.113436694009120e+00, 1.026766641969328e+00, 7.456833547908137e-01, 1.998416015753639e-01
11547, 1.136016077437011e+00, 3.284580497961754e-01, -1.765810192482613e-02, 1.070833013055479e+00, 9.497133028427238e-01, 3.255395121245554e-02, 1.522708348313082e-02, 3.216205992846157e+00, 1.117782521360430e+00, 1.029923574855560e+00, 7.341751972284064e-01, 2.085332562779825e-01
11548, 1.120246142662758e+00, 2.944679486419311e-01, -1.081760504465934e-02, 1.075092516111603e+00, 9.432915836748808e-01, 3.604072212737314e-02, 1.133275840656122e-02, 3.226445224709660e+00, 1.124782799982708e+00, 1.032267524519643e+00, 7.255590195740244e-01, 2.225338135225399e-01
11549, 1.119513089948197e+00, 3.656372316810270e-01, -6.580707453479740e-03, 1.094826229190543e+00, 9.245018685142256e-01, 4.733503357685081e-02, 1.781578382618279e-02, 3.276927662018402e+00, 1.154168731106026e+00, 1.040144189556917e+00, 6.961221407423009e-01, 2.813056757691750e-01
11550, 1.117242724349560e+00, 3.347206041022783e-01, -6.611306967638972e-03, 1.088648550688901e+00, 9.288753989592867e-01, 4.286939932280733e-02, 1.402766580756419e-02, 3.260698156344118e+00, 1.145395283488430e+00, 1.038095069488709e+00, 7.038552315305908e-01, 2.637587805339826e-01
11551, 1.116508255076051e+00, 2.965556860972949e-01, 6.457485315168179e-03, 1.075418018352148e+00, 9.207098566087657e-01, 3.390895290910571e-02, -3.197714745254491e-03, 3.221723378012273e+00, 1.130822053458824e+00, 1.037495920006302e+00, 7.061060573104245e-01, 2.346123204747710e-01
11552, 1.112152453739935e+00, 2.945572313477564e-01, -5.927397327675986e-03, 1.080316496906051e+00, 9.286079765725832e-01, 3.968594684923452e-02, 9.918611808989404e-03, 3.237372591455566e+00, 1.134998479524890e+00, 1.036605976358429e+00, 7.094409008895066e-01, 2.429651726069033e-01
11553, 9.070025252007282e-01, 0.000000000000000e+00, 1.145967919638635e-02, 9.897297774130738e-01, 9.600654181999534e-01, -1.349379429688342e-03, -1.118502726162492e-01, 2.996089565250569e+00, 1.009649364814904e+00, 1.006522241724210e+00, 8.171863789119906e-01, -7.733056813068907e-03
11554, 9.932698219645922e-01, 2.003807755268051e-01, 7.799179252152800e-03, 1.035694545012121e+00, 9.369216900156653e-01, 1.938768565962852e-02, -1.134563893718264e-01, 3.117031755242114e+00, 1.074740638541483e+00, 1.023861985806546e+00, 7.561785125463778e-01, 1.224494906400895e-01
11555, 9.629475406265844e-01, 1.837629807131475e-01, 1.092487701157524e-02, 1.018071070117261e+00, 9.597708446225975e-01, 1.173769379526518e-02, -1.124550041556595e-01, 3.074227172740764e+00, 1.046217631713126e+00, 1.013942611525024e+00, 7.914005158010495e-01, 6.540347698337624e-02
11556, 9.320990879520170e-01, 1.488843554933492e-01, 1.341073438162456e-02, 9.973174656838547e-01, 9.614113175604763e-01, 5.077816591441226e-03, -1.095447089297008e-01, 3.017299882999540e+00, 1.019148740676799e+00, 1.008262428336886e+00, 8.111790085689993e-01, 1.126569491072038e-02
11557, 8.936093523385897e-01, 4.672978529353370e-02, 1.456230681573224e-02, 9.806400444671637e-01, 9.712058693823971e-01, -1.186479530665872e-03, -1.101630815471995e-01, 2.974141342371609e+00, 9.948086601190612e-01, 1.000920006834996e+00, 8.363711516730193e-01, -3.741446620475420e-02
11558, 9.061414667394403e-01, 1.003747032173340e-01, 1.483619833640922e-02, 9.861712345848381e-01, 9.640797168338990e-01, -3.811160135484014e-04, -1.071941333547036e-01, 2.987259576227003e+00, 1.004076843272555e+00, 1.004578912033092e+00, 8.238675654021291e-01, -1.887809989776601e-02
11559, 9.317600827345700e-01, 0.000000000000000e+00, 3.353960236955800e-02, 1.015373239925367e+00, 9.688217305455893e-01, 1.076751848098964e-03, -1.065982651681932e-01, 3.069032292547103e+00, 1.040493568634480e+00, 1.011074420920704e+00, 8.014208416881915e-01, 5.395535082608350e-02
11560, 9.540117039824167e-01, 0.000000000000000e+00, 4.834675493071927e-02, 1.030396971198406e+00, 9.650977605742744e-01, 1.180397409896313e-03, -9.785943600306854e-02, 3.109269933062781e+00, 1.061061560954715e+00, 1.016027457972587e+00, 7.840725801646171e-01, 9.509133546655325e-02
11561, 1.120166288264846e+00, 6.522759115404331e-02, 1.506003518780291e-01, 1.040193144228180e+00, 9.814628655093498e-01, 9.305140611927657e-04, -2.496429681491902e-02, 3.139506646898647e+00, 1.070472954618616e+00, 1.015385948102024e+00, 7.863314588175334e-01, 1.139141227943559e-01
11562, 1.103674424355695e+00, 2.575670741170645e-01, 9.922038240903001e-02, 1.048927264901617e+00, 9.562532703914575e-01, 7.271678462534860e-03, -3.296800650207991e-02, 3.157071431938296e+00, 1.088257825206731e+00, 1.023660301022611e+00, 7.569040357173039e-01, 1.494838639705854e-01
11563, 1.064648262629616e+00, 1.866687027611348e-01, 1.401875225140553e-01, 1.037531153977855e+00, 9.655806427737135e-01, 1.432836116808123e-03, -4.081704479388303e-02, 3.128036578857360e+00, 1.071169134444690e+00, 1.018653168846910e+00, 7.747883669908743e-01, 1.153064824465027e-01
11564, 1.101553516752921e+00, 2.269810616112336e-01, 7.099399983794842e-02, 1.055371577257980e+00, 9.495805871878462e-01, 1.305659553756318e-02, -2.774251434740439e-02, 3.173191676010285e+00, 1.098219682930835e+00, 1.026722940967819e+00, 7.458419083369183e-01, 1.694075794187939e-01
11565, 1.089061067735649e+00, 2.316240233957843e-01, 6.332511139764262e-02, 1.061674050400533e+00, 9.496730147227255e-01, 1.498659887819350e-02, -3.476729127399041e-02, 3.190776366714288e+00, 1.106143027334511e+00, 1.027991491984092e+00, 7.412311724017381e-01, 1.852542682261462e-01
11566, 1.103625557766513e+00, 2.535764142100884e-01, 5.141578972618095e-02, 1.065313398912504e+00, 9.415633161855085e-01, 1.891004223761741e-02, -2.617853766232637e-02, 3.198773162441095e+00, 1.112875787011384e+00, 1.030715342680590e+00, 7.312717006479305e-01, 1.987197875798908e-01
